number,title,depth,part,chapter,start_pdf_page,end_pdf_page_hierarchical,end_pdf_page_atomic,hierarchical_file,atomic_file,hierarchical_utf8_bytes,atomic_utf8_bytes
12.2.2,Representing a Skeleton in Memory,3,3,12,747,748,748,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.02.02_representing_a_skeleton_in_memory.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.02.02_representing_a_skeleton_in_memory.md,2366,2366
12.3,Poses,2,3,12,748,753,748,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.03_poses.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.03_poses.md,9783,1539
12.3.1,Bind Pose,3,3,12,748,749,749,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.03.01_bind_pose.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.03.01_bind_pose.md,1254,1254
12.3.2,Local Poses,3,3,12,749,752,752,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.03.02_local_poses.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.03.02_local_poses.md,5704,5704
12.3.3,Global Poses,3,3,12,752,753,753,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.03.03_global_poses.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.03.03_global_poses.md,2006,2006
12.4,Clips,2,3,12,753,768,754,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04_clips.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04_clips.md,30061,3388
12.4.1,The Local Timeline,3,3,12,754,758,758,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.01_the_local_timeline.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.01_the_local_timeline.md,7898,7898
12.4.2,The Global Timeline,3,3,12,758,760,760,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.02_the_global_timeline.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.02_the_global_timeline.md,4118,4118
12.4.3,Comparison of Local and Global Clocks,3,3,12,760,763,763,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.03_comparison_of_local_and_global_clocks.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.03_comparison_of_local_and_global_clocks.md,5367,5367
12.4.4,A Simple Animation Data Format,3,3,12,763,764,764,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.04_a_simple_animation_data_format.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.04_a_simple_animation_data_format.md,2849,2849
12.4.5,Continuous Channel Functions,3,3,12,764,765,765,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.05_continuous_channel_functions.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.05_continuous_channel_functions.md,1108,1108
12.4.6,Metachannels,3,3,12,765,767,767,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.06_metachannels.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.06_metachannels.md,3280,3280
12.4.7,"Relationship between Meshes, Skeletons and Clips",3,3,12,767,768,768,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.04.07_relationship_between_meshes_skeletons_and_clips.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.04.07_relationship_between_meshes_skeletons_and_clips.md,3642,3642
