number,title,depth,part,chapter,start_pdf_page,end_pdf_page_hierarchical,end_pdf_page_atomic,hierarchical_file,atomic_file,hierarchical_utf8_bytes,atomic_utf8_bytes
13.4.4,Numerical Integration,3,3,13,880,885,885,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.04_numerical_integration.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.04_numerical_integration.md,10232,10232
13.4.5,Angular Dynamics in Two Dimensions,3,3,13,885,889,889,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.05_angular_dynamics_in_two_dimensions.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.05_angular_dynamics_in_two_dimensions.md,7340,7340
13.4.6,Angular Dynamics in Three Dimensions,3,3,13,889,894,894,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.06_angular_dynamics_in_three_dimensions.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.06_angular_dynamics_in_three_dimensions.md,11390,11390
13.4.7,Collision Response,3,3,13,894,902,902,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.07_collision_response.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.07_collision_response.md,19444,19444
13.4.8,Constraints,3,3,13,902,906,906,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.08_constraints.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.08_constraints.md,9189,9189
13.4.9,Controlling the Motions of Rigid Bodies,3,3,13,907,908,908,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.09_controlling_the_motions_of_rigid_bodies.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.09_controlling_the_motions_of_rigid_bodies.md,4041,4041
13.4.10,The Collision/Physics Step,3,3,13,908,911,911,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.04.10_the_collision_physics_step.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.04.10_the_collision_physics_step.md,6420,6420
13.5,Integrating a Physics Engine into Your Game,2,3,13,911,928,911,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.05_integrating_a_physics_engine_into_your_game.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.05_integrating_a_physics_engine_into_your_game.md,43132,542
13.5.1,Linking Game Objects and Rigid Bodies,3,3,13,911,915,915,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.05.01_linking_game_objects_and_rigid_bodies.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.05.01_linking_game_objects_and_rigid_bodies.md,12199,12199
13.5.2,Updating the Simulation,3,3,13,916,919,919,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.05.02_updating_the_simulation.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.05.02_updating_the_simulation.md,7484,7484
13.5.3,Example Uses of Collision and Physics in a Game,3,3,13,919,928,928,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.05.03_example_uses_of_collision_and_physics_in_a_game.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.05.03_example_uses_of_collision_and_physics_in_a_game.md,23413,23413
13.6,Advanced Physics Features,2,3,13,928,929,929,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.06_advanced_physics_features.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.06_advanced_physics_features.md,3780,3780
14,Audio,1,3,14,930,1033,931,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14_audio.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14_audio.md,220809,2241
14.1,The Physics of Sound,2,3,14,931,943,932,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.01_the_physics_of_sound.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.01_the_physics_of_sound.md,26741,1814
14.1.1,Properties of Sound Waves,3,3,14,932,933,933,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.01.01_properties_of_sound_waves.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.01.01_properties_of_sound_waves.md,3059,3059
14.1.2,Perceived Loudness and the Decibel,3,3,14,933,936,936,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.01.02_perceived_loudness_and_the_decibel.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.01.02_perceived_loudness_and_the_decibel.md,5725,5725
14.1.3,Sound Wave Propagation,3,3,14,936,942,942,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.01.03_sound_wave_propagation.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.01.03_sound_wave_propagation.md,14997,14997
14.1.4,Perception of Position,3,3,14,942,943,943,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.01.04_perception_of_position.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.01.04_perception_of_position.md,1924,1924
14.2,The Mathematics of Sound,2,3,14,943,960,943,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.02_the_mathematics_of_sound.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.02_the_mathematics_of_sound.md,33917,908
14.2.1,Signals,3,3,14,943,944,944,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.02.01_signals.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.02.01_signals.md,3167,3167
14.2.2,Manipulating Signals,3,3,14,944,945,945,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.02.02_manipulating_signals.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.02.02_manipulating_signals.md,1057,1057
14.2.3,Linear Time-Invariant (LTI) Systems,3,3,14,945,946,946,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.02.03_linear_time_invariant_lti_systems.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.02.03_linear_time_invariant_lti_systems.md,3235,3235
14.2.4,Impulse Response of an LTI System,3,3,14,947,952,952,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.02.04_impulse_response_of_an_lti_system.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.02.04_impulse_response_of_an_lti_system.md,10230,10230
14.2.5,The Frequency Domain and the Fourier Transform,3,3,14,952,960,960,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.02.05_the_frequency_domain_and_the_fourier_transform.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.02.05_the_frequency_domain_and_the_fourier_transform.md,16215,16215
14.3,The Technology of Sound,2,3,14,960,974,960,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.03_the_technology_of_sound.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.03_the_technology_of_sound.md,28760,482
14.3.1,Analog Audio Technology,3,3,14,961,966,966,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.03.01_analog_audio_technology.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.03.01_analog_audio_technology.md,11930,11930
14.3.2,Digital Audio Technology,3,3,14,967,974,974,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.03.02_digital_audio_technology.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.03.02_digital_audio_technology.md,16582,16582
14.4,Rendering Audio in 3D,2,3,14,974,993,974,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04_rendering_audio_in_3d.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04_rendering_audio_in_3d.md,43315,2151
14.4.1,Overview of 3D Sound Rendering,3,3,14,974,975,975,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04.01_overview_of_3d_sound_rendering.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04.01_overview_of_3d_sound_rendering.md,1911,1911
14.4.2,Modeling the Audio World,3,3,14,975,976,976,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04.02_modeling_the_audio_world.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04.02_modeling_the_audio_world.md,1771,1771
14.4.3,Distance-Based Attenuation,3,3,14,976,978,978,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04.03_distance_based_attenuation.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04.03_distance_based_attenuation.md,4424,4424
14.4.4,Pan,3,3,14,978,984,984,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04.04_pan.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04.04_pan.md,14612,14612
14.4.5,"Propagation, Reverb and Acoustics",3,3,14,984,992,992,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04.05_propagation_reverb_and_acoustics.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04.05_propagation_reverb_and_acoustics.md,17681,17681
14.4.6,Doppler Shift,3,3,14,992,993,993,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.04.06_doppler_shift.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.04.06_doppler_shift.md,1841,1841
14.5,Audio Engine Architecture,2,3,14,993,1014,994,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05_audio_engine_architecture.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05_audio_engine_architecture.md,49222,3139
14.5.1,The Audio Processing Pipeline,3,3,14,994,996,996,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.01_the_audio_processing_pipeline.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.01_the_audio_processing_pipeline.md,2251,2251
14.5.2,Concepts and Terminology,3,3,14,996,997,997,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.02_concepts_and_terminology.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.02_concepts_and_terminology.md,2833,2833
14.5.3,The Voice Bus,3,3,14,997,999,999,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.03_the_voice_bus.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.03_the_voice_bus.md,5565,5565
14.5.4,Master Mixer,3,3,14,999,1001,1001,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.04_master_mixer.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.04_master_mixer.md,3893,3893
14.5.5,The Master Output Bus,3,3,14,1001,1002,1002,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.05_the_master_output_bus.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.05_the_master_output_bus.md,2382,2382
14.5.6,Implementing a Bus,3,3,14,1002,1004,1004,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.06_implementing_a_bus.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.06_implementing_a_bus.md,6262,6262
14.5.7,Asset Management,3,3,14,1004,1007,1007,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.07_asset_management.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.07_asset_management.md,6679,6679
14.5.8,Mixing Your Game,3,3,14,1007,1011,1011,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.08_mixing_your_game.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.08_mixing_your_game.md,10338,10338
14.5.9,Audio Engine Survey,3,3,14,1011,1014,1014,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.05.09_audio_engine_survey.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.05.09_audio_engine_survey.md,7601,7601
14.6,Game-Specific Audio Features,2,3,14,1014,1033,1015,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.06_game_specific_audio_features.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.06_game_specific_audio_features.md,37754,3626
14.6.1,Supporting Split-Screen,3,3,14,1016,1016,1016,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.06.01_supporting_split_screen.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.06.01_supporting_split_screen.md,984,984
14.6.2,Character Dialog,3,3,14,1016,1029,1029,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.06.02_character_dialog.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.06.02_character_dialog.md,29528,29528
14.6.3,Music,3,3,14,1029,1033,1033,part_03_graphics_motion_and_sound/chapter_14_audio/hierarchical/14.06.03_music.md,part_03_graphics_motion_and_sound/chapter_14_audio/atomic/14.06.03_music.md,4131,4131
15,Introduction to Gameplay Systems,1,4,15,1034,1057,1035,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15_introduction_to_gameplay_systems.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15_introduction_to_gameplay_systems.md,47067,2633
15.1,Anatomy of a Game World,2,4,15,1035,1040,1035,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.01_anatomy_of_a_game_world.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.01_anatomy_of_a_game_world.md,11722,636
15.1.1,World Elements,3,4,15,1035,1038,1038,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.01.01_world_elements.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.01.01_world_elements.md,6542,6542
15.1.2,World Chunks,3,4,15,1038,1038,1038,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.01.02_world_chunks.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.01.02_world_chunks.md,2215,2215
15.1.3,High-Level Game Flow,3,4,15,1038,1040,1040,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.01.03_high_level_game_flow.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.01.03_high_level_game_flow.md,3061,3061
15.2,Implementing Dynamic Elements: Game Objects,2,4,15,1040,1043,1041,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.02_implementing_dynamic_elements_game_objects.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.02_implementing_dynamic_elements_game_objects.md,6544,2590
15.2.1,Game Object Models,3,4,15,1041,1042,1042,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.02.01_game_object_models.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.02.01_game_object_models.md,2094,2094
15.2.2,Tool-Side Design versus Runtime Design,3,4,15,1042,1043,1043,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.02.02_tool_side_design_versus_runtime_design.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.02.02_tool_side_design_versus_runtime_design.md,2164,2164
15.3,Data-Driven Game Engines,2,4,15,1043,1044,1044,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.03_data_driven_game_engines.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.03_data_driven_game_engines.md,4295,4295
15.4,The Game World Editor,2,4,15,1044,1057,1047,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.04_the_game_world_editor.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.04_the_game_world_editor.md,22750,2836
15.4.1,Typical Features of a Game World Editor,3,4,15,1048,1054,1054,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.04.01_typical_features_of_a_game_world_editor.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.04.01_typical_features_of_a_game_world_editor.md,16703,16703
15.4.2,Integrated Asset Management Tools,3,4,15,1054,1057,1057,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/hierarchical/15.04.02_integrated_asset_management_tools.md,part_04_gameplay/chapter_15_introduction_to_gameplay_systems/atomic/15.04.02_integrated_asset_management_tools.md,3482,3482
16,Runtime Gameplay Foundation Systems,1,4,16,1058,1179,1058,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16_runtime_gameplay_foundation_systems.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16_runtime_gameplay_foundation_systems.md,264085,195
16.1,Components of the Gameplay Foundation System,2,4,16,1058,1061,1061,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.01_components_of_the_gameplay_foundation_system.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.01_components_of_the_gameplay_foundation_system.md,9324,9324
16.2,Runtime Object Model Architectures,2,4,16,1062,1081,1062,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.02_runtime_object_model_architectures.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.02_runtime_object_model_architectures.md,40106,2704
16.2.1,Object-Centric Architectures,3,4,16,1063,1076,1076,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.02.01_object_centric_architectures.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.02.01_object_centric_architectures.md,28026,28026
16.2.2,Property-Centric Architectures,3,4,16,1076,1081,1081,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.02.02_property_centric_architectures.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.02.02_property_centric_architectures.md,9647,9647
16.3,World Chunk Data Formats,2,4,16,1081,1088,1082,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.03_world_chunk_data_formats.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.03_world_chunk_data_formats.md,18811,2531
16.3.1,Binary Object Images,3,4,16,1082,1082,1082,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.03.01_binary_object_images.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.03.01_binary_object_images.md,1331,1331
16.3.2,Serialized Game Object Descriptions,3,4,16,1082,1084,1084,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.03.02_serialized_game_object_descriptions.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.03.02_serialized_game_object_descriptions.md,5203,5203
16.3.3,Spawners and Type Schemas,3,4,16,1084,1088,1088,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.03.03_spawners_and_type_schemas.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.03.03_spawners_and_type_schemas.md,10202,10202
16.4,Loading and Streaming Game Worlds,2,4,16,1088,1097,1089,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.04_loading_and_streaming_game_worlds.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.04_loading_and_streaming_game_worlds.md,23380,1144
16.4.1,Simple Level Loading,3,4,16,1089,1089,1089,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.04.01_simple_level_loading.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.04.01_simple_level_loading.md,1972,1972
16.4.2,Toward Seamless Loading: Air Locks,3,4,16,1089,1091,1091,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.04.02_toward_seamless_loading_air_locks.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.04.02_toward_seamless_loading_air_locks.md,3436,3436
16.4.3,Game World Streaming,3,4,16,1091,1093,1093,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.04.03_game_world_streaming.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.04.03_game_world_streaming.md,5688,5688
16.4.4,Memory Management for Object Spawning,3,4,16,1093,1096,1096,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.04.04_memory_management_for_object_spawning.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.04.04_memory_management_for_object_spawning.md,7255,7255
16.4.5,Saved Games,3,4,16,1096,1097,1097,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.04.05_saved_games.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.04.05_saved_games.md,4921,4921
16.5,Object References and World Queries,2,4,16,1098,1105,1098,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.05_object_references_and_world_queries.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.05_object_references_and_world_queries.md,16702,1427
16.5.1,Pointers,3,4,16,1098,1099,1099,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.05.01_pointers.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.05.01_pointers.md,2799,2799
16.5.2,Smart Pointers,3,4,16,1099,1101,1101,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.05.02_smart_pointers.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.05.02_smart_pointers.md,4449,4449
16.5.3,Handles,3,4,16,1101,1104,1104,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.05.03_handles.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.05.03_handles.md,5365,5365
16.5.4,Game Object Queries,3,4,16,1104,1105,1105,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.05.04_game_object_queries.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.05.04_game_object_queries.md,3362,3362
16.6,Updating Game Objects in Real Time,2,4,16,1105,1120,1107,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.06_updating_game_objects_in_real_time.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.06_updating_game_objects_in_real_time.md,31165,4742
16.6.1,A Simple Approach (That Doesn’t Work),3,4,16,1107,1109,1109,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.06.01_a_simple_approach_that_doesnt_work.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.06.01_a_simple_approach_that_doesnt_work.md,4918,4918
16.6.2,Performance Constraints and Batched Updates,3,4,16,1109,1112,1112,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.06.02_performance_constraints_and_batched_updates.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.06.02_performance_constraints_and_batched_updates.md,4960,4960
16.6.3,Object and Subsystem Interdependencies,3,4,16,1112,1120,1120,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.06.03_object_and_subsystem_interdependencies.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.06.03_object_and_subsystem_interdependencies.md,17001,17001
16.7,Applying Concurrency to Game Object Updates,2,4,16,1120,1133,1120,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.07_applying_concurrency_to_game_object_updates.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.07_applying_concurrency_to_game_object_updates.md,26611,722
16.7.1,Concurrent Engine Subsystems,3,4,16,1120,1121,1121,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.07.01_concurrent_engine_subsystems.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.07.01_concurrent_engine_subsystems.md,2685,2685
16.7.2,Asynchronous Program Design,3,4,16,1121,1124,1124,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.07.02_asynchronous_program_design.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.07.02_asynchronous_program_design.md,4884,4884
16.7.3,Job Dependencies and Degree of Parallelism,3,4,16,1124,1126,1126,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.07.03_job_dependencies_and_degree_of_parallelism.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.07.03_job_dependencies_and_degree_of_parallelism.md,4086,4086
16.7.4,Parallelizing the Game Object Model Itself,3,4,16,1126,1133,1133,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.07.04_parallelizing_the_game_object_model_itself.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.07.04_parallelizing_the_game_object_model_itself.md,14934,14934
16.8,Events and Message-Passing,2,4,16,1133,1153,1133,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08_events_and_message_passing.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08_events_and_message_passing.md,44254,1148
16.8.1,The Problem with Statically Typed Function Binding,3,4,16,1133,1135,1135,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.01_the_problem_with_statically_typed_function_binding.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.01_the_problem_with_statically_typed_function_binding.md,3450,3450
16.8.2,Encapsulating an Event in an Object,3,4,16,1135,1136,1136,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.02_encapsulating_an_event_in_an_object.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.02_encapsulating_an_event_in_an_object.md,2841,2841
16.8.3,Event Types,3,4,16,1136,1137,1137,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.03_event_types.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.03_event_types.md,3212,3212
16.8.4,Event Arguments,3,4,16,1137,1139,1139,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.04_event_arguments.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.04_event_arguments.md,3329,3329
16.8.5,Event Handlers,3,4,16,1139,1140,1140,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.05_event_handlers.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.05_event_handlers.md,2296,2296
16.8.6,Unpacking an Event’s Arguments,3,4,16,1140,1140,1140,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.06_unpacking_an_events_arguments.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.06_unpacking_an_events_arguments.md,1093,1093
16.8.7,Chains of Responsibility,3,4,16,1140,1142,1142,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.07_chains_of_responsibility.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.07_chains_of_responsibility.md,4069,4069
16.8.8,Registering Interest in Events,3,4,16,1142,1143,1143,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/hierarchical/16.08.08_registering_interest_in_events.md,part_04_gameplay/chapter_16_runtime_gameplay_foundation_systems/atomic/16.08.08_registering_interest_in_events.md,1857,1857
